year,e3genmod_power,e3genmod_utilization,postapril_power,postapril_utilization
2016,0,0,0,0
2017,0,0,0,0
2018,0,0,0,0
2019,0,0,0,0
2020,0,0,0,0
2021,0,0,0,0
2022,0,0,20,20
2023,0,0,20,20
2024,0,0,20,20
2025,4,4,20,20
2026,4,4,20,20
2027,4,4,20,20
2028,4,4,20,20
2029,4,4,20,20
2030,32,32,20,20
2031,32,32,20,20
2032,32,32,20,20
2033,32,32,20,20
2034,32,32,20,20
2035,50,50,20,20
2036,50,50,20,20
2037,50,50,30,30
2038,50,50,30,30
2039,50,50,30,30
2040,98,98,30,30
2041,98,98,30,30
2042,98,98,30,30
2043,98,98,30,30
2044,98,98,30,30
2045,219,219,30,30
